track_id,artists,track_name,track_genre,search_string,duration_ms,tempo,tempo_log,duration_minutes,tags_clean_text,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,lfm_playcount,lfm_listeners,log_playcount,log_listeners,log_plays_per_listener,plays_per_listener,tag_count
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),hip-hop,STAR WALKIN' (League of Legends Worlds Anthem) - Lil Nas X,210575,141.872,4.9549252426376516,3.5095833333333335,hip-hop rap trap pop country rap country american pop rap queer,0.148,0.637,0.715,0.0,0.0892,-4.971,0.0455,0.308,4687370.0,399372.0,15.36038242888212,12.897651096276672,2.5444995126548564,11.736851857416143,9
2rurDawMfoKP4uHyb2kJBt,Shakira;Rauw Alejandro,Te Felicito,latin,"Te Felicito - Shakira, Rauw Alejandro",172235,174.14,5.159859573400469,2.8705833333333333,pop latin female vocalist rock dance shakira colombia sexy singer-songwriter,0.234,0.695,0.636,0.0,0.081,-4.654,0.317,0.575,2155845.0,224133.0,14.583693779888455,12.319999366264053,2.362606897270067,9.618596993749247,9
4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny;Rauw Alejandro,Party,latino,"Party - Bad Bunny, Rauw Alejandro",227628,97.013,4.574844990141979,3.7938,reggaeton 11 rauw alejandro neoperreo ra-rauw,0.0151,0.829,0.799,0.000543,0.242,-5.389,0.0897,0.471,4238881.0,321148.0,15.259810113193373,12.679660468871344,2.6531821860724145,13.19915117017699,5
1797zYiX4cKosMH836X9Gt,Bad Bunny;Tony Dize,La Corriente,latino,"La Corriente - Bad Bunny, Tony Dize",198367,196.12,5.278726716783033,3.3061166666666666,reggaeton latin trap puerto rico trap latino latin rap rap puerto rican latin pop hip-hop,0.229,0.663,0.786,0.0,0.219,-3.51,0.195,0.579,3171371.0,261936.0,14.96967485979026,12.475859295813303,2.5731790165053052,12.10742700506994,10
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),piano,Running Up That Hill (A Deal With God) - Kate Bush,298933,108.375,4.685597435100706,4.982216666666667,80s female vocalist pop alternative kate bush,0.72,0.629,0.547,0.00314,0.0604,-13.123,0.055,0.197,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
7MXVkk9YMctZqd1Srtv4MB,The Weeknd;Daft Punk,Starboy,pop,"Starboy - The Weeknd, Daft Punk",230453,186.003,5.225762802615388,3.840883333333333,rnb pop daft punk electronic 2016,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,0.486,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,pop,Dandelions - Ruth B.,233720,116.959,4.761823446033317,3.8953333333333333,rnb piano chill sweet vocal harmonie,0.0157,0.609,0.692,0.0,0.0864,-2.958,0.0259,0.454,9399684.0,835012.0,16.05618673604044,13.635202572574075,2.5060926996462705,11.256944810373982,5
0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,pop,Until I Found You - Stephen Sanchez,177720,101.358,4.618658804168646,2.962,love pop sweet american traditional pop,0.727,0.539,0.508,0.0,0.174,-6.05,0.0288,0.227,9027731.0,881855.0,16.015811731055816,13.689784056353576,2.4192302070687295,10.237205663062522,5
7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",rock,"Sex, Drugs, Etc. - Beach Weather",196784,143.969,4.9695979986226355,3.279733333333333,indie cool vocal harmonie lively e minor,0.013,0.572,0.839,0.00976,0.522,-5.083,0.0377,0.465,14295830.700000325,1185900.0,16.475478563228343,13.98601338119395,2.5691586842491567,12.054836579813074,5
7ef4DlsgrMEH11cDZd32M6,Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),dance,"One Kiss (with Dua Lipa) - Calvin Harris, Dua Lipa",214846,123.994,4.8202331773375695,3.580766666666667,house pop dance electronic dance pop,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,0.592,10893471.0,1174232.0,16.20367426870511,13.976125726458491,2.329918393579582,9.27710282124827,5
1DIXPcTDzTj8ZMHt3PDt8p,Coolio;L.V.,Gangsta's Paradise,funk,"Gangsta's Paradise - Coolio, L.V.",240693,79.975,4.381714085835582,4.01155,rap 90s hip-hop gangsta rap,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,0.386,11589301.0,1299728.2700000037,16.265592989171058,14.07766654689777,2.29422128580656,8.916710721387915,4
5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),hip-hop,"STAY (with Justin Bieber) - The Kid LAROI, Justin Bieber",141805,169.928,5.135374817924584,2.3634166666666667,pop rap pop rock synthpop 2021 2020,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,0.478,14295830.700000325,1259867.0,16.475478563228343,14.046517511534987,2.5134208232520474,11.347095129883016,5
27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,hip-hop,BILLIE EILISH. - Armani White,99282,100.007,4.605240183538206,1.6547,rap hip-hop american usa philadelphia nomusic notalent,0.115,0.9,0.509,1.67e-06,0.0937,-6.647,0.257,0.765,2320346.0,311636.0,14.657227301423687,12.649594327906353,2.1336566134585717,7.4456930521505855,7
1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,hip-hop,About Damn Time - Lizzo,191822,108.966,4.691035906964417,3.197033333333333,hip-hop pop rnb rap female vocalist american pop rap soul pop soul,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,0.722,6926641.0,715057.0,15.750885693844447,13.480118937267305,2.369012848979068,9.686837552810475,9
59nOXPmaKlBfGMDeOVGrIK,Future;Drake;Tems,WAIT FOR U (feat. Drake & Tems),hip-hop,"WAIT FOR U (feat. Drake & Tems) - Future, Drake, Tems",189893,83.389,4.423516406181446,3.1648833333333335,trap future drake hip-hop rnb,0.314,0.463,0.642,0.0,0.0686,-4.474,0.34,0.339,12620424.0,846253.0,16.35082709121394,13.648574829933048,2.7671551733356705,14.91329897796522,5
4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,indie,I Love You So - The Walters,160239,75.977,4.330430662905206,2.67065,indie-pop indie indie-rock pop rock sad,0.583,0.575,0.648,0.0,0.115,-4.891,0.0358,0.466,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
5jt25aFjW2kNoBqaEVaz5W,Mora;Feid,LA INOCENTE,latino,"LA INOCENTE - Mora, Feid",202173,91.911,4.5208207175197295,3.36955,puerto rico noise latin trap progressive metalcore black metal goth idm post-punk metalcore,0.307,0.757,0.789,0.0,0.0717,-3.46,0.0583,0.464,2455039.0,149843.0,14.713653612357046,11.917350031903146,2.855554576365184,16.384075332181016,10
3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,latino,cómo dormiste? - Rels B,112572,126.426,4.839657156762725,1.8762,rap hip-hop rnb spain afrobeat spanish rap trap cloud rap,0.238,0.627,0.429,0.0,0.122,-8.255,0.234,0.565,2225901.0,166788.0,14.61567278469126,12.024484819489961,2.663449572181604,13.345690337434348,8
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish;Khalid,lovely (with Khalid),pop,"lovely (with Khalid) - Billie Eilish, Khalid",200185,115.284,4.747398649215602,3.3364166666666666,pop 13 reasons why indie alternative khalid,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,0.12,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,pop,Call Out My Name - The Weeknd,228373,134.17,4.89910765260238,3.806216666666667,rnb soul canadian trap 2018,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,0.175,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,garage,Do I Wanna Know? - Arctic Monkeys,272394,85.03,4.443004135397701,4.5399,indie-rock indie alternative rock arctic monkey,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,0.405,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,505,garage,505 - Arctic Monkeys,253586,140.266,4.943540619892384,4.2264333333333335,indie-rock indie british rock alternative,0.00287,0.526,0.866,7.78e-05,0.0945,-5.822,0.0568,0.248,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,garage,Why'd You Only Call Me When You're High? - Arctic Monkeys,161123,92.004,4.521832054364758,2.6853833333333332,indie-rock indie love at first listen rock sexy,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,0.8,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
2HZLXBOnaSRhXStMLrq9fD,Ghost,Mary On A Cross,hard-rock,Mary On A Cross - Ghost,244804,130.02,4.867688284776323,4.080066666666666,psychedelic rock -1001740215468 occult rock metal power pop,0.000235,0.466,0.9,0.00104,0.103,-4.469,0.0447,0.561,13704196.0,893528.0,16.433212694247626,13.70293406968614,2.7934432335877752,15.337175779606236,5
68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,hip-hop,No Role Modelz - J. Cole,292799,100.028,4.605450146795407,4.879983333333334,hip-hop rap j cole 2014,0.324,0.69,0.521,0.0,0.0534,-8.492,0.339,0.494,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,4
6VBhH7CyP56BXjp8VsDFPZ,Pritam;Arijit Singh;Amitabh Bhattacharya,"Kesariya (From ""Brahmastra"")",indian,"Kesariya (From ""Brahmastra"") - Pritam, Arijit Singh, Amitabh Bhattacharya",268164,94.009,4.543390522367625,4.4694,bollywood hindi all indian pritam world india composer desi,0.572,0.577,0.574,0.0,0.1,-6.525,0.0278,0.436,440232.0,42054.0,12.995059411189274,10.646733564396538,2.4395827923311777,10.468255100584962,9
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,k-pop,After LIKE - IVE,176973,125.014,4.828425731030769,2.94955,k-pop disco wsum 91 7 fm madison kpop pop court with manda m,0.103,0.68,0.922,0.0,0.0877,-1.215,0.121,0.799,14295830.700000325,616278.0,16.475478563228343,13.331455062055335,3.186230665899969,23.197048572235786,5
0kTMK4gNFfLXaTb62w1UaJ,Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C,BABY OTAKU,latino,"BABY OTAKU - Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",176470,102.003,4.62500222461646,2.9411666666666667,,0.0492,0.835,0.747,0.0,0.055,-4.65,0.083,0.432,125027.0,21369.0,11.736292991200184,9.969743348313193,1.9243740050852494,5.850858720576536,0
5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,pop,Night Changes - One Direction,226600,120.001,4.787500076080657,3.776666666666667,pop love love at first listen british boy band,0.859,0.672,0.52,0.0,0.115,-7.747,0.0353,0.37,12970859.0,1151838.0,16.378215860956413,13.956870353526618,2.5064242921064817,11.261009794780168,5
2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Die For You,pop,Die For You - The Weeknd,260253,133.249,4.892219558327362,4.33755,rnb pop synthpop ballad canadian,0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,0.51,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,pop,traitor - Olivia Rodrigo,229226,100.607,4.611221837749858,3.8204333333333333,pop ballad indie-pop folk pop 2021,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,0.0849,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
2TktkzfozZifbQhXjT6I33,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),soul,Evergreen (You Didn’t Deserve Me at All) - Omar Apollo,216680,82.029,4.4070728432783985,3.6113333333333335,rnb soul funk indie pop mexican queer alternative rnb us united state,0.598,0.697,0.336,0.00528,0.107,-10.395,0.0424,0.31,7857961.0,679925.0,15.87703784325276,13.429739247701168,2.530286217186021,11.557099680111778,10
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,alt-rock,Daddy Issues - The Neighbourhood,260173,85.012,4.442792422996445,4.336216666666667,indie groovy alternative spoken,0.0678,0.588,0.521,0.149,0.123,-9.461,0.0329,0.337,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,4
0xzI1KAr0Yd9tv8jlIk3sn,benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),dance,"Bad Decisions (with BTS & Snoop Dogg) - benny blanco, BTS, Snoop Dogg",172714,120.048,4.787891662803373,2.8785666666666665,bts pop korean pop rap 2022,0.0185,0.762,0.861,0.0,0.264,-3.296,0.0955,0.955,14295830.700000325,308829.0,16.475478563228343,12.640546242673045,3.8563081886524935,46.290441312183525,5
7fZBQnc0zXwVybgCIrQQil,Imanbek;BYOR,Belly Dancer,dance,"Belly Dancer - Imanbek, BYOR",151475,121.985,4.803898086354513,2.524583333333333,house c kazakh kazakhstan slap house electronic good deep house dance-pop remix,0.0582,0.845,0.797,5.57e-06,0.167,-4.984,0.139,0.422,1493722.0,250224.0,14.21678221918479,12.43011579208722,1.9415491239929399,5.969539292793657,10
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello;Ed Sheeran,Bam Bam (feat. Ed Sheeran),dance,"Bam Bam (feat. Ed Sheeran) - Camila Cabello, Ed Sheeran",206070,94.996,4.553834785450931,3.4345,pop female vocalist dance cuba cuban racist fifth harmony my top song latin latin pop,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,0.956,4173048.0,399641.0,15.24415750165668,12.898324425338487,2.437290069359407,10.441991687539566,10
3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked out of Heaven,dance,Locked out of Heaven - Bruno Mars,233478,143.994,4.969771632041255,3.8913,pop rnb bruno mar 10s 2012,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,0.867,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,emo,Revenge - XXXTENTACION,120026,139.999,4.941635279726651,2.0004333333333335,emo rap xxxtentacion alternative rock acoustic post-nerdcore,0.782,0.746,0.251,0.00203,0.106,-16.169,0.259,0.18,14295830.700000325,1207081.0,16.475478563228343,14.003716434806021,2.5528228094989482,11.843306870044616,5
0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,hip-hop,THATS WHAT I WANT - Lil Nas X,143901,87.981,4.477120882075574,2.39835,pop hip-hop pop rock rap 2021,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,0.546,9191553.0,810828.0,16.033795576881005,13.605812460063914,2.512522495859525,11.336008376622416,5
3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,hip-hop,The Real Slim Shady - Eminem,284200,104.504,4.649225348184262,4.736666666666666,rap hip-hop eminem 00s,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,0.76,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,4
4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),hip-hop,Betty (Get Money) - Yung Gravy,146470,102.004,4.625012028201631,2.4411666666666667,rap hip-hop comedy cloud rap meme rap american united state funny pop,0.00524,0.723,0.772,1.15e-05,0.367,-6.784,0.0792,0.58,3263696.0,355486.0,14.99837115987473,12.781243959343016,2.3205174451201,9.180941021587348,9
2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,latino,Yonaguni - Bad Bunny,206710,179.951,5.192684591608793,3.4451666666666667,j-pop latin latin pop reggaeton latin rnb,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,0.44,5238140.0,388573.0,15.471477222358741,12.87023890684203,2.672799659700891,13.48045283640397,5
4gzsuuZypVbxs0Af1LSZyB,Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),latino,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) - Tainy, Bad Bunny, Julieta Venegas",207301,169.888,5.135139396401261,3.455016666666667,reggaeton latin puerto rico pop producer pop rap hip-hop trap synthpop,0.0889,0.639,0.703,1.78e-06,0.0865,-6.33,0.0794,0.138,3222972.0,231890.0,14.985814783474245,12.354022712658677,2.7012746719948386,13.898710595540988,9
5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,latino,Un Ratito - Bad Bunny,176936,93.05,4.5331369830882595,2.948933333333333,reggaeton latin trap puerto rico trap latino latin rap rap puerto rican latin pop hip-hop,0.305,0.787,0.546,4.55e-05,0.122,-7.094,0.0532,0.222,3201591.0,277936.0,14.979158744057859,12.53514974828584,2.5272607726308247,11.51916628288527,10
4d4ZXH4dr5bYfgErHiZCX2,Bad Bunny,Dos Mil 16,latino,Dos Mil 16 - Bad Bunny,208615,130.058,4.867980504804702,3.476916666666667,reggaeton latin trap puerto rico trap latino latin rap rap puerto rican latin pop hip-hop,0.123,0.817,0.67,1.92e-06,0.128,-6.534,0.0506,0.495,2847182.0,229308.0,14.861840642381987,12.342825717966711,2.596478537681091,12.416409370802588,10
6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,latino,Un Coco - Bad Bunny,196412,151.991,5.023821308566948,3.2735333333333334,masterpiece latin alternative reggaeton banger goofy ahh song,0.207,0.839,0.69,8.33e-06,0.176,-4.464,0.0615,0.744,3532479.0,260671.0,15.077510731812124,12.471018191008085,2.6776930116600983,13.551484438238239,5
4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,pop,Heather - Conan Gray,198040,102.078,4.625737226928056,3.300666666666667,pop sad my top song indie indie-pop,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,0.27,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,pop,deja vu - Olivia Rodrigo,215506,180.917,5.198038362557503,3.5917666666666666,pop pop rock psychedelic pop indie-pop 2021,0.584,0.442,0.612,5.7e-06,0.37,-7.222,0.112,0.178,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,synth-pop,Everybody Wants To Rule The World - Tears For Fears,251488,112.067,4.71909690672197,4.191466666666667,80s new wave pop tears for fear rock,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,0.535,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
